Table 1
Practice Time,First >,5:00:00 AM,5:00:00 AM,5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second v,Duration (hrs),<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs
,>=2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1.5hr,,,,,,,,,,,,,,,,,,,"Pre-Meal        3 before first exercise        
Pre-Snack        1 before first exercise        
Meal        completion of first exercise        
Pre-Snack        1 before second exercise        
Meal        completion of second exercise
FAIL - see comment","expected: 
8am pre-meal
10am pre-snack
11-1pm exercise
1pm meal
4pm pre-snack
5-6pm exercise
6pm meal
actual: 
9-10am meal (incorrect)
11-12pm snack (incorrect)
11-1pm exercise
1-2pm meal
4-5pm snack
5-6pm exercise
7-8pm meal (incorrect) ","expected: 
8am pre-meal
10am pre-snack
11-2pm exercise
2pm meal
4pm pre-snack
5-6pm exercise
6pm meal
actual: 
9-10am meal (incorrect)
11-12pm snack (incorrect)
11-2pm exercise
1-2pm meal (incorrect)
4-5pm snack 
5-6pm exercise
7-8pm meal (incorrect)","Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Meal	completion of second exercise",,"Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Post-snack	completion of first exercise	
Pre-Snack	1 before second exercise	
Meal	completion of second exercise","Pre-Meal	3 before first exercise	
Pre Snack	1 before first exercise	
Meal	completion of first exercise	
Post-Snack	completion of second exercise	
Meal	3 after last meal","Pre-Meal	3 before first exercise	
Pre Snack	1 before first exercise	
Post-Snack	completion of first exercise	
Meal	completion of second exercise	
Meal	3 after last meal",,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Post-snack	completion of first exercise	
Meal	completion of second exercise",,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Post-snack	completion of first exercise	
Meal	completion of second exercise",,,,,,,,,,,,,,,,,,,,
,>=1.5 & < 2.5hrs,,,,,,,,,,,,,,,,,,,"expected: 
8am pre-meal
10am pre-snack
11-12pm exercise
12-1pm meal
4pm pre-snack
5-7pm exercise
7pm meal
actual: 
9-10am meal (incorrect)
11-12pm snack (incorrect)
11-12 exercise
1-2pm meal (incorrect)
4-5pm snack
5-7pm exercise
7-8pm meal","expected: 
8am pre-meal
10am pre-snack
11-1pm exercise
1pm meal
4pm pre-snack
5-7pm exercise
7pm meal
actual: 
9-10am meal (incorrect)
11-12pm snack (incorrect)
11-1pm exercise
1-2pm meal 
4-5pm snack
5-7pm exercise
7-8pm meal","expected: 
8am pre-meal
10am pre-snack
11-2pm exercise
2pm meal
4pm pre-snack
5-7pm exercise
7pm meal
actual: 
9-10am meal (incorrect)
11-12pm snack (incorrect)
11-2pm exercise
1-2pm meal (incorrect)
4-5pm snack
5-6pm exercise
7-8pm meal (incorrect)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>=2.5hrs,,,,,,,,,,,,,,,,,,,"expected: 
8am meal
10am pre-snack
11-12pm exercise
12pm meal
4pm pre-snack
5-9pm exercise
9pm meal
actual: 
9-10am meal (incorrect)
11-12 snack (incorrect)
11-12 exercise
1-2pm meal (incorrect)
4-5pm snack
5-9pm exercise
7-8pm meal (incorrect) ","expected: 
8am meal
10am pre-snack
11am-1pm exercise
1pm meal
4pm pre-snack
5-9pm exercise
9pm meal
actual: 
9-10am meal (incorrect)
11-12pm snack (incorrect)
11-1pm exercise
1-2pm meal
4-5pm snack
5-9pm exercise
7-8pm meal (incorrect) ","expected: 
8am pre-meal
10am pre-snack
11-2pm exercise
2pm meal
4pm pre-snack
5-9pm exercise
9pm meal
actual: 
9-10am meal (incorrect)
11-12pm snack (incorrect)
11-2pm exercise
1-2pm meal (incorrect) 
4-5pm snack 
5-9pm exercise
7-8pm meal (incorrect) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1.5hr,"Pre-Snack        1.5 before first exercise        
Meal        completion of first exercise        
Pre-Meal        3 before second exercise        
Pre-Snack        1 before second exercise       
Meal       completion of second exercise",,,,,,"Pre-Snack        1.5 before first exercise        
Meal        completion of first exercise        
Pre-Meal        3 before second exercise        
Pre-Snack        1 before second exercise       
Meal       completion of second exercise",,,,,,"Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Pre-Meal	3 before second exercise	
Pre-snack	1 before second exercise	
Meal	completion of second exercise",,,"Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Pre-Meal	3 before second exercise	
Pre-snack	1 before second exercise	
Meal	completion of second exercise",,,"Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Meal	completion of second exercise",,,"Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Meal	completion of second exercise",,,"Pre-Meal	3 before first exercise	
Pre Snack	1 before first exercise	
Meal	completion of first exercise	
Pre-Snack	2 after last meal	
Meal	completion of second exercise",,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Post-snack	completion of first exercise	
Meal	completion of second exercise",,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Post-snack	completion of first exercise	
Meal	completion of second exercise",,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Post-snack	completion of first exercise	
Meal	completion of second exercise",,,,,,,,,,,,,,,,,
,>=1.5 & < 2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>=2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1.5hr,"Pre-Snack        1.5 before first exercise        
Meal        completion of first exercise        
Meal        3 after last meal        
Pre-Meal        3 before second exercise        
Post-Snack        completion of second exercise        ",,,,,,"Pre-Snack	1.5 before first exercise	
Meal	completion of first exercise	
Meal	3 after last meal	
Pre-Meal	3 before second exercise	
Post-Snack	completion of second exercise",,,,,,"Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Pre-Meal	4 before second exercise	
Pre-snack	1 before second exercise	
Meal	completion of second exercise",,,"Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Pre-Meal	4 before second exercise	
Pre-snack	1 before second exercise	
Meal	completion of second exercise",,,,,,,,,,,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise",,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Pre-Snack	1 before second exercise	
Meal	completion of second exercise","Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise","Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Pre-Snack	1 before second exercise	
Meal	completion of second exercise",,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Post-snack	completion of first exercise	
Meal	completion of second exercise",,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Post-snack	completion of first exercise	
Meal	completion of second exercise",,,,,,,,,,,,,,
,>=1.5 & < 2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>=2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
